,job ID,job title,Company,type,time,location,area,classification,subClassification,potential salary (p.h.)
36,50621878,office administrator,Best Mates Pet Food,standard,4, Waikato, Rest of Waikato,,,22.5
37,50638763,Provider Registration Administrator - Lower Hutt,ACC,standout,0, Wellington, Hutt Valley, Administration & Office Support, Administrative Assistants,
38,50621050,Receptionist / Admin Support,STOP Services,standard,4, Canterbury, Christchurch, Administration & Office Support, Receptionists,
39,50615101,Colliers Rural - Office Administrator (Part time),Private Group,standout,5, Bay of Plenty, Rotorua, Administration & Office Support, Administrative Assistants,
40,50628924,Part Time Administrator,Heyden Farms Ltd,standard,3, Waikato, Rest of Waikato, Administration & Office Support, Administrative Assistants,
41,50631460,Operations Administrator,Port Taranaki Limited,standout,3, Taranaki, New Plymouth, Administration & Office Support, Administrative Assistants,
42,50638893,Receptionist / Accounts Administrator,Robertson Motor Group,standard,0, Manawatu, Palmerston North,,,24.5
43,50628972,Office Administrators,SOLGM,standout,3, Wellington, Wellington Central, Administration & Office Support, Administrative Assistants,
44,50564208,Accounts and Office Assistant,Geeks on Wheels,promoted,, Wellington, Wellington Central, Administration & Office Support, Administrative Assistants,
45,50529232,Administrator/Secretarial Support,The Heart Group,promoted,, Auckland, Auckland Central, Administration & Office Support," PA, EA & Secretarial",
46,50623039,Supporter Care & Database Administrator,SPCA,standard,4, Auckland, Waitakere & West Auckland, Administration & Office Support, Data Entry & Word Processing,
47,50638815,Personal Assistant/Administrator,Department of Conservation,standout,0, Wellington, Wellington Central, Administration & Office Support, Administrative Assistants,
48,50633998,Administrative and Organisational Superstar,Grit Engineering Ltd,standout,3, Northland, Whangarei,,,25
49,50623434,Office Assistant,NetYourJob,standout,4, Canterbury, Timaru & South Canterbury, Administration & Office Support, Administrative Assistants,
50,50630931,Administrator (including School Bus Co-ordinator),Saint Kentigern Trust,standout,3, Auckland, Manukau & East Auckland, Administration & Office Support, Administrative Assistants,
51,50597891,Office Administrator,Fourth Element,standard,7, Hawkes Bay, Hastings, Administration & Office Support, Office Management,
52,50610033,Administration Specialist,"GJ Gardner Homes, Waikato",standard,6, Waikato, Hamilton, Administration & Office Support, Administrative Assistants,
53,50602547,Administration Officer,Stauff Corporation Pty Ltd,standout,7, Auckland, Manukau & East Auckland, Administration & Office Support, Administrative Assistants,
54,50606822,Business Support Officer,Wellington City Council,standout,6, Wellington, Wellington Central, Administration & Office Support, Administrative Assistants,
55,50606374,Customer Services and Administration Officer,Taranaki Regional Council,standout,6, Taranaki, Rest of Taranaki, Administration & Office Support, Administrative Assistants,
56,50631149,Clinical Administrator (Job Share),Te Omanga Hospice,standout,3, Wellington, Hutt Valley, Administration & Office Support, Administrative Assistants,
57,50605173,Office / Client Administrator,Perpetual Guardian,standout,6, Waikato, Hamilton,,,
58,50613327,Office / Administration Manager,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,standard,5, Bay of Plenty, Tauranga,,,35.3
59,50617901,FULL TIME RECEPTIONIST/ADMINISTRATOR,Professionals Real Estate - Papatoetoe,standard,5, Auckland, Manukau & East Auckland,,,20
61,50616292,Administration Support - Health (Contract),Serco Asia Pacific,standout,5, Auckland, Manukau & East Auckland, Administration & Office Support, Administrative Assistants,
62,50631687,Accounts Administrator,Landmark Homes Taranaki,standout,3, Taranaki, New Plymouth, Administration & Office Support, Administrative Assistants,
63,50597000,Office / Client Administrator,Perpetual Guardian,standout,8, Auckland, Auckland Central,,,
64,50638765,ADMINISTRATION SPECIALIST - CONSTRUCTION,Private Advertiser,standout,0, Auckland, Rodney & North Shore, Administration & Office Support, Administrative Assistants,
65,50632280,Receptionist,Deloitte - NZ,standout,3, Otago, Dunedin, Administration & Office Support, Receptionists,
66,50597146,Office Administrator / Kiripaepae,Te Runanga of Ngati Whakaue ki Maketu,promoted,, Bay of Plenty, Rest of Bay of Plenty,,,22.5
68,50613258,Information and Sustainable Transport Assistant,Marlborough District Council,standout,5, Marlborough, Blenheim, Administration & Office Support, Data Entry & Word Processing,
69,50629895,Team Member Customer Service,Bunnings,standout,3, Auckland, Rodney & North Shore, Administration & Office Support, Receptionists,
70,50605913,Office Administrator- Flexible Fixed-Term,Livewire HR Limited,standard,6, Waikato, Hamilton, Administration & Office Support, Administrative Assistants,
71,50607763,Administrator,Private Advertiser,standout,6, Auckland, Rodney & North Shore, Administration & Office Support, Other,
72,50599778,Service Delivery Administrator-Wiri,Royal New Zealand Plunket Trust,standout,7, Auckland, Manukau & East Auckland, Administration & Office Support, Administrative Assistants,
73,50629874,Office Assistant,Adecco Office,standard,3, Auckland, Manukau & East Auckland, Administration & Office Support, Administrative Assistants,
74,50625535,Administration Manager,IHC,standout,4, Bay of Plenty, Rotorua, Administration & Office Support, Office Management,
75,50631694,Personal Assistant & Office Manager,Widespan South Island 2015 Ltd,standard,3, Canterbury, Christchurch,,,34
76,50456853,Customer Care Administrator,Harvey Furnishings,standout,3, Auckland, Auckland Central, Administration & Office Support, Administrative Assistants,
77,50607720,Office Administrator/ Receptionist,Aztec Finance,standard,6, Wellington, Wellington Central,,,20
78,50607500,Office Administrator,Cavanagh & Associates Ltd,standout,6, Auckland, Papakura & Franklin,,,22.5
79,50613331,Casual Administrator,Auckland District Health Board,standard,5, Auckland, Auckland Central, Administration & Office Support, Administrative Assistants,
80,50614001,Customer Services Officer,Elite School of Beauty and Spa,standout,5, Auckland, Auckland Central, Administration & Office Support, Administrative Assistants,
81,50631407,Remote receptionist / Front of Hours / Accounts clerk,Swimsation Swim Schools,standard,3, Auckland, Manukau & East Auckland,,,21
82,50629996,Development Contributions Assessment Officer,Hamilton City Council,standout,3, Waikato, Hamilton,,,32.6
83,50622331,Customer Services,Hobsonville Marina,standard,4, Auckland, Waitakere & West Auckland, Administration & Office Support, Client & Sales Administration,
84,50607526,Administrator/Booking  Clerk -  Cardiothoracic,Waikato District Health Board,standard,6, Waikato, Hamilton, Administration & Office Support, Administrative Assistants,
85,50614537,Senior Administration Officer,CAA/Avsec,standout,5, Wellington, Wellington Central, Administration & Office Support, Other,
86,50625380,Office Administrator (3 Months),Not Socks Gifts Ltd,standout,4, Canterbury, Christchurch, Administration & Office Support, Administrative Assistants,
87,50599184,Administrator/Receptionist,Waikato District Health Board,standard,7, Waikato, Thames & Coromandel, Administration & Office Support, Receptionists,
88,50515557,Administrator,Anywhere International Group,promoted,, Auckland, Auckland Central, Administration & Office Support, Administrative Assistants,
89,50602110,Office Administrator - Full-time Ellerslie/Mt Wellington,Pool Magic Ltd,promoted,, Auckland, Auckland Central,,,28.5
90,50602178,Bilingual Office Administrator,Vistalite South Auckland,standard,7, Auckland, Manukau & East Auckland, Administration & Office Support, Administrative Assistants,
91,50639360,"Administrator, Intelligence & Reporting",Environmental Protection Authority (EPA),standout,0, Wellington, Wellington Central, Administration & Office Support, Administrative Assistants,
92,50613682,Receptionist,Ryman Healthcare,standout,5, Otago, Dunedin, Administration & Office Support, Receptionists,
93,50613649,Receptionist,Ryman Healthcare,standout,5, Otago, Dunedin, Administration & Office Support, Receptionists,
94,50605343,Client Assistant / Administrator,Perpetual Guardian,standout,6, Manawatu, Palmerston North,,,
95,50583111,Export Admin Support,Private Advertiser,standard,11, Hawkes Bay, Hastings, Administration & Office Support, Administrative Assistants,
96,50624551,Contract Administrator / Reception,Rodney West Residential Limited,standout,4, Auckland, Rodney & North Shore, Administration & Office Support, Contracts Administration,
97,50613350,Administration,First AML,standard,5, Auckland, Auckland Central,,,25.8
98,50631495,Personal Assistant,Environmental Protection Authority (EPA),standout,3, Wellington, Wellington Central, Administration & Office Support," PA, EA & Secretarial",
99,50591139,Administration Manager,Right Recruit,standout,10, Auckland, Rodney & North Shore, Administration & Office Support, Office Management,
100,50631933,Client Care / Reception,Vetora,standout,3, Waikato, Rest of Waikato, Administration & Office Support, Receptionists,
101,50631418,Administrator / Marketing Support,Baker Tilly Staples Rodway HR,standout,3, Taranaki, New Plymouth, Administration & Office Support, Administrative Assistants,
102,50632492,Personal Assistant,Cavanagh & Associates Ltd,standout,3, Manawatu, Palmerston North, Administration & Office Support," PA, EA & Secretarial",
103,50610172,Office Administrator / PA,Forté Recruitment Ltd,standout,6, Wellington, Wellington Central,,,31.3
104,50598827,Accounts & Office Admin,Jadcup,standard,7, Auckland, Manukau & East Auckland, Administration & Office Support, Administrative Assistants,
105,50605356,Operations Support,Bachcare,standout,6, Auckland, Auckland Central, Administration & Office Support, Administrative Assistants,
106,50590951,Office / Client Administrator,Perpetual Guardian,standout,10, Auckland, Rodney & North Shore,,,
107,50613726,Receptionist,Gentle Chiropractic,standout,5, Auckland, Auckland Central, Administration & Office Support, Receptionists,
108,50606335,Building Support Services Officer,New Plymouth District Council,standout,6, Taranaki, New Plymouth, Administration & Office Support, Administrative Assistants,
109,50632494,Logistics Administrator,Sharp Corporation of New Zealand Ltd,standout,3, Auckland, Auckland Central, Administration & Office Support, Administrative Assistants,
111,50504596,First Impressions Manager/Administration,The Rent Shop,promoted,, Tasman, Rest of Tasman, Administration & Office Support, Receptionists,
113,50584317,Library Assistant,The James Wallace Arts Trust,standard,11, Auckland, Auckland Central, Administration & Office Support, Records Management & Document Control,
114,50622030,Gateway Administrator,St Patrick's College Wellington,standard,4, Wellington, Wellington Central,,,22.5
115,50597662,Customer Services & Admin Specialist,SBA Invercargill,standout,7, Southland, Invercargill, Administration & Office Support, Client & Sales Administration,
116,50599003,Receptionist,Affco NZ,standout,7, Waikato, Hamilton, Administration & Office Support, Receptionists,
117,50613709,Receptionist/Administrator,Ryman Healthcare,standout,5, Otago, Dunedin, Administration & Office Support, Receptionists,
118,50624451,Receptionist,Turners Group NZ Limited,standout,4, Bay of Plenty, Tauranga, Administration & Office Support, Receptionists,
119,50601202,Client Liaison and Administration Superstar,Swarbricks,standout,6, Waikato, Rest of Waikato, Administration & Office Support, Client & Sales Administration,
120,50574918,Admin Assistant,Civix,standard,12, Auckland, Auckland Central, Administration & Office Support, Administrative Assistants,
121,50617365,Office Assistant - Christchurch,Simpson Grierson,standout,5, Canterbury, Christchurch, Administration & Office Support, Administrative Assistants,
122,50614115,Swim School Administrator,Community Leisure Management,standout,5, Tasman, Nelson, Administration & Office Support, Administrative Assistants,
123,50616398,Judges Personal Assistant,Ministry of Justice,standout,5, Auckland, Manukau & East Auckland,,,30.5
124,50632238,Office Manager,Soundtech 2018 Ltd,standard,3, Wellington, Wellington Central, Administration & Office Support, Office Management,
125,50629119,Executive Assistant,Alpine Energy,standard,3, Canterbury, Timaru & South Canterbury, Administration & Office Support," PA, EA & Secretarial",
126,50489648,Admin/Reception - permanent role,Hutt City Health Centres,standout,7, Wellington, Hutt Valley, Administration & Office Support, Receptionists,
127,50622202,Office / Human Resource (HR) Administrator,Three Sixty Consulting Ltd,standout,4, Canterbury, Christchurch, Administration & Office Support, Administrative Assistants,
128,50615622,Service Coordinator,New Zealand Artificial Limb Service,standard,5, Canterbury, Christchurch, Administration & Office Support, Administrative Assistants,
129,50610371,Receptionist / Administrator - Auckland Wide,Skin Institute,standout,6, Auckland, Auckland Central, Administration & Office Support, Receptionists,
130,50597939,Part time Receptionist in Auckland CBD,Rider Levett Bucknall,standout,7, Auckland, Auckland Central, Administration & Office Support, Receptionists,
131,50635291,Executive Assistant to the Chief Executive,Raukura Hauora O Tainui,standout,3, Waikato, Hamilton, Administration & Office Support," PA, EA & Secretarial",
132,50551511,Senior Administrator,McCaw Lewis Lawyers Limited,promoted,, Waikato, Hamilton, Administration & Office Support, Administrative Assistants,
134,50605903,Student Services Administrator,Hobsonville Primary School,standard,6, Auckland, Waitakere & West Auckland,,,25
135,50613522,Executive Assistant,Private Advertiser,standard,5, Auckland, Manukau & East Auckland, Administration & Office Support," PA, EA & Secretarial",
136,50597562,Inpatient Booking Clerk,Waikato District Health Board,standard,7, Waikato, Hamilton, Administration & Office Support, Administrative Assistants,
137,50617719,Office Administrator,Hays Office Support,standard,5, Auckland, Auckland Central, Administration & Office Support, Administrative Assistants,
138,50621532,Regional Coordinator - South Island,New Zealand National Party,standard,4, Canterbury, Christchurch, Administration & Office Support, Administrative Assistants,
139,50621207,Administrator Te Roopu Kaitiaki - Part Time,Capital and Coast District Health Board,standout,4, Wellington, Wellington Central, Administration & Office Support, Administrative Assistants,
140,50613416,Environmental Group Administrator/Liquor Licensing Inspector,Timaru District Council,standout,5, Canterbury, Timaru & South Canterbury, Administration & Office Support," PA, EA & Secretarial",
141,50547920,Part Time Administration Officer,Puhinui School,standard,17, Auckland, Manukau & East Auckland, Administration & Office Support, Administrative Assistants,
142,50624583,Part-Time Weekend Receptionist - Mount Hot Pools,Bay Venues Limited,standout,4, Bay of Plenty, Tauranga, Administration & Office Support, Receptionists,
143,50639339,Board Secretary,CES,standard,0, Canterbury, Christchurch, Administration & Office Support," PA, EA & Secretarial",
144,50624082,Receptionist - Part Time,Triangle Recruitment Ltd,standout,4, Waikato, Hamilton, Administration & Office Support, Receptionists,
145,50604577,office manager,inside,standard,7, Wellington, Wellington Central, Administration & Office Support, Office Management,
146,50639878,Kaiāwhina Rau Tangata - Business Support Representative,Te Runanga o Ngai Tahu,standard,1770, Canterbury, Christchurch, Administration & Office Support, Receptionists,
147,50598196,Receptionist - Raglan Holiday Park Papahua (Casual) x2,Join Our Team,standout,7, Waikato, Rest of Waikato, Administration & Office Support, Receptionists,
148,50598322,Administration Manager,Hutt Valley Gymnastics,standout,7, Wellington, Hutt Valley,,,26
149,50594243,Customer Service Administrator,Universal Business Team Recruitment,standout,10, Manawatu, Palmerston North, Administration & Office Support, Client & Sales Administration,
150,50596920,Receptionist/Duty Manager,Hopper Developments,standout,8, Auckland, Rodney & North Shore, Administration & Office Support, Receptionists,
151,50616431,Business Support Administrator,DOWNER NZ,standout,5, Manawatu, Rest of Manawatu, Administration & Office Support, Contracts Administration,
152,50622163,Estates Administrator,Gallaway Cook Allan Lawyers,standout,4, Otago, Dunedin, Administration & Office Support, Other,
153,50605201,Executive Assistant/ Support Co-ordinator,Sime Darby Motors Group,standout,6, Auckland, Manukau & East Auckland, Administration & Office Support," PA, EA & Secretarial",
156,50597675,Branch and Events Administrator,Momentum Consulting Group,standout,7, Manawatu, Palmerston North,,,27
157,50571080,Office Administrator,Lewis Plumbing Co,standard,13, Bay of Plenty, Rotorua, Administration & Office Support, Administrative Assistants,
158,50605827,Frontline Media/Marketing Office Super Star,Wilkin River Jets,standout,6, Otago, Queenstown & Wanaka, Administration & Office Support, Administrative Assistants,
159,50601280,Client Services Administrator (Dunedin),Anderson Lloyd,standout,7, Otago, Dunedin, Administration & Office Support, Other,
160,50623808,Executive Assistant,Cawthron,standout,4, Tasman, Nelson, Administration & Office Support," PA, EA & Secretarial",
161,50608284,Accounts Administrator,Togethr 2020 Ltd,standout,6, Canterbury, Christchurch, Administration & Office Support, Administrative Assistants,
162,50631918,Parish Secretary,St John's in the City,standard,3, Wellington, Wellington Central, Administration & Office Support," PA, EA & Secretarial",
163,50606274,Client Services Officer - Wellington,ProActive Rehab Ltd,standout,6, Wellington, Wellington Central, Administration & Office Support, Administrative Assistants,
164,50592510,Administrator,Te Puni Kokiri,standout,10, Wellington, Wellington Central, Administration & Office Support, Office Management,
166,50597579,Regional Coordinator,Primary Industry Training Organisation,standout,7, Canterbury, Rest of Canterbury, Administration & Office Support, Client & Sales Administration,
167,50626152,Personal Assistant,NetYourJob,standout,4, Otago, Queenstown & Wanaka, Administration & Office Support," PA, EA & Secretarial",
168,50597734,Weekend Receptionist - Radius Thornleigh Park,Radius Care,standout,7, Taranaki, New Plymouth, Administration & Office Support, Receptionists,
169,50597514,Office Administrator,The Recruitment Alternative,standard,7, Auckland, Manukau & East Auckland, Administration & Office Support, Administrative Assistants,
170,50606563,Client Services Officer - Napier,ProActive Rehab Ltd,standout,6, Hawkes Bay, Napier, Administration & Office Support, Administrative Assistants,
171,50628245,Personal Assistant with experience in Landscaping and Gardening.,Price Smart,standard,4, Wellington, Wellington Central,,,25
172,50616605,Funding Agreements & Reporting  Administrator,JacksonStone & Partners,standout,5, Auckland, Auckland Central, Administration & Office Support, Contracts Administration,
173,50608937,Personal Assistant (Maternity Leave Position),BayleysMetro,standout,6, Otago, Dunedin,,,25
174,50614658,Administration Manager,Hudson - Business Support,standard,5, Manawatu, Palmerston North, Administration & Office Support, Office Management,
175,50605048,Administrator / Customer Service - Part Time,salt,standout,6, Auckland, Auckland Central, Administration & Office Support, Administrative Assistants,
178,50614994,Business Support Administrator - Picton,Hudson - Business Support,standard,5, Marlborough,, Administration & Office Support, Administrative Assistants,
179,50636976,Project Coordinator,SSL,standout,3, Otago, Dunedin, Administration & Office Support, Contracts Administration,
180,50597426,Executive Assistant to the ELB & SLT,New Zealand Police,standard,7, Wellington,, Administration & Office Support, Other,
181,50601247,Receptionist,Personnel Resources/Temp Resources,standout,7, Bay of Plenty, Tauranga, Administration & Office Support, Receptionists,
182,50576571,Office Administrator - Waipukurau,Higgins Concrete Limited,standard,12, Hawkes Bay, Rest of Hawkes Bay, Administration & Office Support, Administrative Assistants,
183,50609570,Receptionist/Administrator,Sign creations,standard,6, Bay of Plenty, Tauranga, Administration & Office Support, Receptionists,
184,50628725,Team Coordinator Monitoring and Inspection,CAA/Avsec,standout,3, Wellington, Wellington Central, Administration & Office Support, Other,
185,50624975,Lodgement Administrator - Dunedin,ACC,standout,4, Otago, Dunedin, Administration & Office Support, Data Entry & Word Processing,
187,50588220,PERSONAL ASSISTANT - PART TIME,Private Advertiser,standard,10, Auckland, Auckland Central, Administration & Office Support," PA, EA & Secretarial",
188,50613503,Weekend Receptionist,Generus Living Group,standard,5, Canterbury, Christchurch, Administration & Office Support, Receptionists,
189,50602701,Children's Team Administrator - Oranga Tamariki,Oranga Tamariki,standout,7, Wellington, Wellington Central, Administration & Office Support, Administrative Assistants,
191,50601769,Office Assistance Temporary Role,Colonial Bacon & Ham Co Ltd,standard,7, Auckland, Manukau & East Auckland,,,22.5
192,50615369,Compliance Support Coordinator,Otago Regional Council,standout,5, Otago, Dunedin, Administration & Office Support, Administrative Assistants,
193,50581778,"Administration Officer, Building Services",Dunedin City Council,standout,11, Otago, Dunedin, Administration & Office Support, Administrative Assistants,
194,50616946,Senior Plumbing Administrator /Scheduler,Hiflo Plumbing,standard,5, Otago, Rest of Otago, Administration & Office Support, Administrative Assistants,
195,50639083,Personal Assistant,Fonterra Co-operative Group Ltd,standout,0, Auckland, Auckland Central, Administration & Office Support," PA, EA & Secretarial",
196,50588967,Administrator - Women's Health,Waikato District Health Board,standard,10, Waikato, Hamilton, Administration & Office Support, Administrative Assistants,
197,50633637,Team Administrator,Alpha Recruitment - NZ,standout,3, Wellington,, Administration & Office Support, Administrative Assistants,
200,50599425,Health & Safety Co-ordinator/Office Manager,Forest and Harvesting Managers Ltd,standout,7, Otago, Dunedin, Administration & Office Support, Administrative Assistants,
201,50622872,Admin Coordinator (Medical),Robert Walters,standout,4, Auckland, Waitakere & West Auckland,,,
202,50618272,Office Administrator and Accounting Assistant,Northland Roofs (NZ) Ltd,standout,5, Auckland, Auckland Central, Administration & Office Support, Administrative Assistants,
203,50599621,Service Delivery Coordinator,Adecco Office,standout,7, Wellington, Wellington Central, Administration & Office Support, Administrative Assistants,
204,50614504,reception,Ideal Real estate,standard,5, Auckland, Rodney & North Shore, Administration & Office Support, Receptionists,
205,50627515,Service Administrator Fixed Term - Waipukurau,Cervus Equipment,standout,4, Hawkes Bay, Rest of Hawkes Bay, Administration & Office Support, Administrative Assistants,
206,50598701,Reception - Part Time,Asset Recruitment Ltd,standout,7, Waikato, Hamilton, Administration & Office Support, Receptionists,
207,50590936,Electrical Support Administrator,Harvey Norman,standout,10, Gisborne, Gisborne, Administration & Office Support, Administrative Assistants,
208,50630028,PA/Team Administrator,"Ministry of Business, Innovation and Employment",standout,3, Wellington,, Administration & Office Support, Administrative Assistants,
209,50632261,Admin and Sales Support Person,People Passion,standout,3, Auckland, Papakura & Franklin, Administration & Office Support, Client & Sales Administration,
210,50608151,Curtain Bank Project Administrator,Habitat for Humanity Greater Auckland Ltd,standout,6, Auckland, Manukau & East Auckland, Administration & Office Support, Administrative Assistants,
211,50605292,Board Secretary (Part Time),Friendship House Trust,standout,6, Auckland, Manukau & East Auckland, Administration & Office Support," PA, EA & Secretarial",
212,50585191,Centre Administrator / Executive Assistant - Hobsonville location!,In Transit Consulting Ltd,standout,11, Auckland, Waitakere & West Auckland,,,32.6
213,50605228,Personal Assistant/Executive Assistant Roles - Expressions of Interest,Momentum Consulting Group,standard,6, Wellington,, Administration & Office Support," PA, EA & Secretarial",
214,50608495,Administrator Te Whare o Matairangi,Capital and Coast District Health Board,standout,6, Wellington, Wellington Central,,,24.5
215,50572487,Time Target Rostering Administrator,Private Advertiser,standout,12, Waikato, Rest of Waikato, Administration & Office Support, Data Entry & Word Processing,
216,50608920,Executive Officer - Te Tai Tokerau,Department of Corrections,standout,6, Northland, Rest of Northland, Administration & Office Support," PA, EA & Secretarial",
217,50589781,ADMINISTRATION/RECEPTIONIST,Pacific Island Advisory & Cultural Trust,standard,10, Southland, Invercargill, Administration & Office Support, Receptionists,
218,50599154,Office Manager,StarNow.com,standout,7, Wellington, Wellington Central, Administration & Office Support, Office Management,
219,50637795,Dispatcher / Project Coordinator,Clearvision Communications,standout,2, Auckland, Auckland Central,,,28.5
220,50600797,"Administrator, Office of the Deputy Director-General",Ministry of Health,standout,7, Wellington, Wellington Central, Administration & Office Support, Other,
221,50631223,Executive Assistant - Fixed Term,The University of Auckland,standout,3, Auckland, Auckland Central, Administration & Office Support," PA, EA & Secretarial",
222,50633242,Business Manager,DLA Architects Limited,standard,3, Wellington, Wellington Central, Administration & Office Support, Office Management,
223,50562012,Administration Superstar,NetYourJob,standout,14, Auckland, Manukau & East Auckland, Administration & Office Support, Administrative Assistants,
224,50590778,Team Administrator,Oranga Tamariki,standout,10, Wellington, Wellington Central, Administration & Office Support, Administrative Assistants,
225,50606796,Operations Coordinator and/or 1:1 Support Worker,St Chads Communication Centre Trust,standard,6, Bay of Plenty, Rotorua, Administration & Office Support, Office Management,
226,50625217,PA / Team Administrator,Chandler Macleod NZ,standout,4, Wellington,, Administration & Office Support," PA, EA & Secretarial",
227,50607463,Customer Service,Jora New Zealand,standard,6, Northland, Rest of Northland, Administration & Office Support, Client & Sales Administration,
228,50623064,Team Leader Reception Services,Ministry of Social Development,standout,4, Wellington, Wellington Central, Administration & Office Support, Other,
229,50593033,Branch Administrator,Penske New Zealand,standout,10, Bay of Plenty, Tauranga, Administration & Office Support, Administrative Assistants,
230,50566949,Office Administrator- Henderson,Briscoe Group,standout,13, Auckland, Waitakere & West Auckland, Administration & Office Support, Administrative Assistants,
231,50608580,Dispatch Administrator,Enterprise Recruitment,standout,6, Auckland, Manukau & East Auckland,,,26.5
232,50605383,Executive Assistant,Little Recruiter,standout,6, Canterbury, Timaru & South Canterbury, Administration & Office Support," PA, EA & Secretarial",
233,50633336,Administrator - New Initiative,GBL Personnel,standout,3, Wellington,, Administration & Office Support, Administrative Assistants,
234,50584794,Order processing and Customer Service Role,Food Specialists International ltd,standard,11, Manawatu, Palmerston North, Administration & Office Support, Administrative Assistants,
235,50576836,Data Entry Administrator,Personnel Resources/Temp Resources,standout,12, Bay of Plenty, Tauranga, Administration & Office Support, Data Entry & Word Processing,
